"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"26 000 грн","ЖК Місце мрії","Шулявка","Солом'янський","2 кімнати","60 / 35 / 15 м²","поверх 14 з 25","спец. проект","монолітно-каркасний","2009"
"","","","","","","","","",""
"95 750 грн","ЖК Central Park","Нова забудова","Печерський","3 кімнати","131 / 80 / 15 м²","поверх 10 з 25","","",""
"","","","","","","","","",""
"57 450 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","2 кімнати","87 / 41 / 17 м²","поверх 2 з 23","спец. проект","монолітно-каркасний","2013"
"8 000 грн","Харьківський","Дарницький","Київ","1 кімната","40 / 18 / 9 м²","поверх 3 з 16","серія Т","утеплена панель","1983"
"","","","","","","","","",""
"15 000 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","38 / 12 / 16 м²","поверх 15 з 25","спец. проект","панельні","2018"
"114 900 грн","Нижній Печерськ","Печерський","Київ","3 кімнати","112 / 60 / 40 м²","поверх 7 з 25","","",""
"14 999 грн","Лівобережний масив","Дніпровський","Київ","3 кімнати","68 / 34 / 8 м²","поверх 6 з 9","серія 96","утеплена панель","1978"
"38 300 грн","ЖК Podil Plaza & Residence","Шевченківський","Київ","2 кімнати","80 / 60 / 10 м²","поверх 10 з 25","","",""
"45 960 грн","ЖК вул. Антоновича (Горького), 72","Нова забудова","Голосіївський","1 кімната","50 / 19 / 30 м²","поверх 14 з 25","спец. проект","монолітно-каркасний","2006"
"9 000 грн","Харьківський","Дарницький","Київ","1 кімната","38 / 19 / 8 м²","поверх 3 з 9","цегляний будинок","",""
"34 470 грн","ЖК Славутич","Позняки","Дарницький","3 кімнати","77 / 30 / 25 м²","поверх 4 з 12","спец. проект","монолітно-каркасний","2018"
"","","","","","","","","",""
"30 640 грн","ЖК Сонячна брама","Голосіїво","Голосіївський","3 кімнати","104 / 52 / 13 м²","поверх 14 з 20","спец. проект","монолітно-каркасний","2013"
"12 500 грн","ЖК Амурський","Голосіїво","Голосіївський","1 кімната","28 / 17 / 5 м²","поверх 26 з 26","спец. проект","панельні","2018"
"12 900 грн","Лук'янівка","Шевченківський","Київ","1 кімната","36 / 20 / 8 м²","поверх 5 з 9","совмін","цегляний будинок","1986"
"24 895 грн","ЖК Львівський квартал","Шевченківський","Київ","2 кімнати","72 / 34 / 13 м²","поверх 16 з 24","спец. проект","монолітно-каркасний","2018"
"18 000 грн","ЖК The Lakes","Деміївка","Голосіївський","1 кімната","55 / 18 / 16 м²","поверх 8 з 25","спец. проект","монолітно-каркасний","2018"
"34 470 грн","ЖК RiverStone","Позняки","Дарницький","2 кімнати","88 / 65 / 18 м²","поверх 10 з 24","спец. проект","монолітно-каркасний","2012"
"","","","","","","","","",""
"10 000 грн","Лісовий","Деснянський","Київ","1 кімната","38 / 17 / 8.5 м²","поверх 5 з 9","чеський проект","панельні","1970"
"10 000 грн","Лісовий","Деснянський","Київ","2 кімнати","49 / 31 / 7 м²","поверх 5 з 5","хрущівка","панельні","1968"
"18 000 грн","ЖК Деміївка","Деміївка","Голосіївський","1 кімната","51 / 20 / 15 м²","поверх 18 з 20","спец. проект","монолітно-каркасний","2018"
"11 500 грн","Позняки","Дарницький","Київ","1 кімната","48 / 19 / 10 м²","поверх 4 з 10","спец. проект","цегляний будинок","2001"
"12 000 грн","Шулявка","Шевченківський","Київ","2 кімнати","48 / 35 / 7 м²","поверх 4 з 5","спец. проект","цегляний будинок","1961"
"57 450 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","3 кімнати","110 / 70 / 20 м²","поверх 10 з 25","спец. проект","монолітно-каркасний","2014"
"8 000 грн","Соцмісто","Дніпровський","Київ","1 кімната","32 / 17 / 9 м²","поверх 1 з 9","чеський проект","панельні","1970"
"","","","","","","","","",""
"10 000 грн","Теремки-1","Голосіївський","Київ","1 кімната","38 / 18 / 10 м²","поверх 11 з 14","серія КТ","утеплена панель","1988"
"38 300 грн","ЖК Златоустівська 14-18","Солдатська слобідка","Шевченківський","3 кімнати","105 / 80 / 15 м²","поверх 4 з 16","спец. проект","монолітно-каркасний","2015"
"33 000 грн","ЖК Покровський посад","Кудрявець","Шевченківський","2 кімнати","107 / 49 / 29 м²","поверх 10 з 22","спец. проект","монолітно-каркасний","2014"
"16 000 грн","Звіринець","Печерський","Київ","1 кімната","40 / 20 / 7.5 м²","поверх 9 з 9","","",""
"25 000 грн","ЖК Сонячна брама","Голосіїво","Голосіївський","2 кімнати","80 / 35 / 18 м²","поверх 3 з 20","спец. проект","монолітно-каркасний","2010"
"8 500 грн","Лісовий","Деснянський","Київ","2 кімнати","49 / 24 / 7 м²","поверх 4 з 5","хрущівка","панельні","1968"
"22 000 грн","Позняки","Дарницький","Київ","1 кімната","34 / 18 / 10 м²","поверх 21 з 30","цегляний будинок","",""
"12 000 грн","Оболонь","Оболонський","Київ","1 кімната","38 / 19 / 9 м²","поверх 2 з 12","серія 134","утеплена панель","1982"
"13 000 грн","Теремки-1","Голосіївський","Київ","3 кімнати","80 / 38 / 8 м²","поверх 6 з 16","серія КТ","утеплена панель","1989"
"11 000 грн","ЖК Еврика","Теремки-2","Голосіївський","1 кімната","33 / 22 / 9 м²","поверх 11 з 24","серія КТ","утеплена панель","2017"
"13 000 грн","Харьківський","Дарницький","Київ","2 кімнати","55 / 32 / 9 м²","поверх 6 з 9","серія 134","утеплена панель","1986"
"23 000 грн","ЖК Respublika","Добрий шлях","Голосіївський","1 кімната","37 / 15 / 13 м²","поверх 5 з 10","панельні","",""
"18 000 грн","ЖК Be the One","Академмістечко","Святошинський","2 кімнати","32 / 18 / 8 м²","поверх 13 з 21","","",""
"14 000 грн","ЖК Харківський","Харьківський","Дарницький","1 кімната","38 / 16 / 17 м²","поверх 6 з 25","спец. проект","цегляний будинок","2018"
"5 000 грн","Оболонь","Оболонський","Київ","2 кімнати","54 / 40 / 9 м²","поверх 5 з 9","серія Т","утеплена панель","1983"
"13 500 грн","Саперна Слобідка","Голосіївський","Київ","1 кімната","49 / 26 / 13 м²","поверх 3 з 22","серія Т","утеплена панель","2007"
"14 000 грн","Кудрявець","Шевченківський","Київ","2 кімнати","55 / 32 / 7 м²","поверх 9 з 14","спец. проект","цегляний будинок","1980"
"18 999 грн","ЖК Лебединий","Позняки","Дарницький","1 кімната","38 / 10 / 20 м²","поверх 17 з 25","спец. проект","монолітно-каркасний","2019"
"22 000 грн","ЖК Smart Plaza Polytech","Шулявка","Шевченківський","1 кімната","47 / 20 / 14 м²","поверх 6 з 23","спец. проект","монолітно-каркасний","2017"
"10 000 грн","Харьківський","Дарницький","Київ","1 кімната","35 / 20 / 8 м²","поверх 1 з 9","гостинка","цегляний будинок","1978"
"11 000 грн","Солом'янка","Солом'янський","Київ","3 кімнати","67 / 45 / 8 м²","поверх 6 з 9","сталінка","цегляний будинок","1940"
"18 000 грн","Шулявка","Шевченківський","Київ","2 кімнати","54 / 32 / 12 м²","поверх 2 з 9","чеський проект","панельні","1972"
"19 000 грн","Харьківський","Дарницький","Київ","3 кімнати","75 / 42 / 9 м²","поверх 10 з 16","серія КТ","утеплена панель","1987"
"25 000 грн","ЖК Smart Plaza Polytech","Шулявка","Шевченківський","1 кімната","45 / 30 / 12 м²","поверх 20 з 25","спец. проект","монолітно-каркасний","2017"
"21 000 грн","Солдатська слобідка","Шевченківський","Київ","3 кімнати","70 / 50 / 12 м²","поверх 2 з 10","","",""
"15 000 грн","ЖК Амурський","Голосіїво","Голосіївський","2 кімнати","65 / 35 / 10 м²","поверх 16 з 23","спец. проект","панельні","2015"
"12 000 грн","ЖК Харківський","Харьківський","Дарницький","1 кімната","40 / 23 / 10 м²","поверх 3 з 24","спец. проект","цегляний будинок","2018"
"13 000 грн","Святошино","Святошинський","Київ","1 кімната","47 / 25 / 12 м²","поверх 8 з 16","спец. проект","цегляний будинок","2005"
"12 000 грн","Оболонь","Оболонський","Київ","2 кімнати","54 / 34 / 8 м²","поверх 10 з 16","БПС","утеплена панель","1979"
"15 000 грн","ЖК Лебединий","Позняки","Дарницький","1 кімната","43 / 10 / 20 м²","поверх 5 з 25","спец. проект","монолітно-каркасний","2019"
"18 000 грн","Нивки","Шевченківський","Київ","3 кімнати","74 / 55 / 10 м²","поверх 4 з 5","сталінка","цегляний будинок","1959"
"18 000 грн","ЖК RiverStone","Позняки","Дарницький","1 кімната","60 / 22 / 20 м²","поверх 3 з 23","спец. проект","монолітно-каркасний","2016"
"32 000 грн","ЖК Seven","Позняки","Дарницький","3 кімнати","67 / 29 / 25 м²","поверх 17 з 26","спец. проект","монолітно-каркасний","2019"
"15 000 грн","Оболонь","Оболонський","Київ","2 кімнати","52 / 30 / 8 м²","поверх 5 з 9","серія 96","утеплена панель","1979"
"23 000 грн","Куренівка","Київ","","2 кімнати","48 / 30 / 8 м²","поверх 18 з 24","","",""
"24 000 грн","ЖК Нивки-Парк","Ґалаґани","Святошинський","2 кімнати","72 / 40 / 20 м²","поверх 9 з 18","спец. проект","монолітно-каркасний","2021"
"8 000 грн","Нова забудова","Печерський","Київ","2 кімнати","42 / 30 / 7 м²","поверх 4 з 9","цегляний будинок","1969",""
"7 500 грн","Оболонь","Оболонський","Київ","1 кімната","35 / 18 / 7 м²","поверх 6 з 9","серія 134","утеплена панель","1977"
"16 500 грн","ЖК вул. Краківська, 27а","Соцмісто","Дніпровський","1 кімната","41 / 25 / 9 м²","поверх 21 з 26","","",""
"20 000 грн","ЖК Seven","Позняки","Дарницький","1 кімната","44 / 20 / 16 м²","поверх 10 з 25","спец. проект","монолітно-каркасний","2019"
"15 000 грн","ЖК Лебединий","Позняки","Дарницький","1 кімната","47 / 20 / 16 м²","поверх 10 з 25","спец. проект","монолітно-каркасний","2018"
"12 000 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","40 / 20 / 10 м²","поверх 20 з 25","спец. проект","панельні","2017"
"21 065 грн","ЖК Славутич","Позняки","Дарницький","1 кімната","50 / 20 / 20 м²","поверх 32 з 34","спец. проект","монолітно-каркасний","2018"
"17 999 грн","Нивки","Шевченківський","Київ","1 кімната","45 / 30 / 10 м²","поверх 13 з 25","","",""
"25 000 грн","ЖК Творець","Нижній Печерськ","Печерський","2 кімнати","84 / 40 / 15 м²","поверх 8 з 25","спец. проект","монолітно-каркасний","2006"
"20 000 грн","ЖК Нивки-Парк","Виноградар","Святошинський","1 кімната","49 / 25 / 15 м²","поверх 10 з 16","","",""
"14 000 грн","ЖК Рів'єра","Дачі Осокорки","Дарницький","1 кімната","35 / 15 / 10 м²","поверх 5 з 10","спец. проект","монолітно-каркасний","2017"
"11 000 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","38 / 18 / 9 м²","поверх 20 з 25","спец. проект","панельні","2018"
"14 000 грн","ЖК Welcome Home на Ревуцького","Осокорки","Дарницький","1 кімната","38 / 18 / 9 м²","поверх 14 з 25","спец. проект","панельні","2019"
"7 500 грн","Черепанова гора","Печерський","Київ","1 кімната","22 / 13 / 4 м²","поверх 3 з 9","гостинка","цегляний будинок","1976"
"14 500 грн","Солдатська слобідка","Шевченківський","Київ","1 кімната","38 / 19 / 8.5 м²","поверх 4 з 6","цегляний будинок","",""
"42 130 грн","ЖК вул. Златоустівська, 50","Солдатська слобідка","Шевченківський","4 кімнати","121 / 65 / 15 м²","поверх 12 з 14","спец. проект","монолітно-каркасний","2013"
"7 000 грн","Святошино","Святошинський","Київ","1 кімната","34 / 19 / 7 м²","поверх 5 з 9","гостинка","цегляний будинок","1974"
"12 000 грн","Позняки","Дарницький","Київ","3 кімнати","80 / 54 / 10 м²","поверх 10 з 16","АППС","утеплена панель","1993"
"16 000 грн","Солом'янка","Солом'янський","Київ","2 кімнати","67 / 43 / 8 м²","поверх 1 з 5","хрущівка","цегляний будинок","1961"
"7 000 грн","Оболонь","Оболонський","Київ","1 кімната","30 / 17 / 6 м²","поверх 8 з 9","гостинка","панельні","1975"
"15 600 грн","Голосіївський","Київ","","1 кімната","58 / - / 20 м²","поверх 11 з 19","","",""
"9 990 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","32 / - / 8 м²","поверх 5 з 25","спец. проект","панельні","2016"
"7 000 грн","Оболонь","Оболонський","Київ","1 кімната","28 / - / 5 м²","поверх 1 з 9","гостинка","цегляний будинок","1974"
"26 810 грн","Позняки","Дарницький","Київ","2 кімнати","72 / - / 30 м²","поверх 12 з 25","","",""
"18 000 грн","Печерськ","Печерський","Київ","2 кімнати","53 / - / 7 м²","поверх 3 з 9","спец. проект","цегляний будинок","1971"
"76 600 грн","Нова забудова","Голосіївський","Київ","4 кімнати","160 / - / 10 м²","поверх 5 з 5","","",""
"11 000 грн","Шулявка","Шевченківський","Київ","1 кімната","40 / - / 9 м²","поверх 5 з 9","гостинка","цегляний будинок","1987"
"11 500 грн","Теремки-1","Голосіївський","Київ","1 кімната","32 / - / 12 м²","поверх 21 з 21","серія КТ","утеплена панель","1986"
"11 000 грн","Липки","Печерський","Київ","1 кімната","32 / - / 6 м²","поверх 3 з 5","хрущівка","цегляний будинок","1961"
"16 000 грн","Шулявка","Солом'янський","Київ","2 кімнати","42 / - / 6 м²","поверх 8 з 9","спец. проект","цегляний будинок","1973"
"30 219 грн","Нова забудова","Голосіївський","Київ","2 кімнати","61 / - / 30 м²","поверх 5 з 6","сталінка","цегляний будинок","1955"
"19 000 грн","Біличі","Святошинський","Київ","3 кімнати","70 / - / 8 м²","поверх 3 з 16","","",""
"25 000 грн","Історичний центр","Шевченківський","Київ","2 кімнати","54 / - / 9 м²","поверх 4 з 5","сталінка","цегляний будинок","1945"
"107 240 грн","Липки","Печерський","Київ","3 кімнати","116 / - / 20 м²","поверх 3 з 5","дореволюційний","цегляний будинок","1917"
"12 000 грн","ЖК Лебединий","Позняки","Дарницький","1 кімната","36 / - / 10 м²","поверх 15 з 25","спец. проект","монолітно-каркасний","2019"
"76 600 грн","ЖК Хвиля","Печерськ","Печерський","4 кімнати","180 / - / 30 м²","поверх 3 з 24","спец. проект","монолітно-каркасний","2005"
"53 620 грн","ЖК Введенський","Печерськ","Печерський","2 кімнати","100 / - / 45 м²","поверх 10 з 10","спец. проект","монолітно-каркасний","2004"
"32 000 грн","Історичний центр","Шевченківський","Київ","4 кімнати","86 / - / 12 м²","поверх 2 з 16","","",""
"15 000 грн","Голосіївський","Київ","","2 кімнати","65 / - / 8 м²","поверх 3 з 15","","",""
"9 500 грн","Сирець","Шевченківський","Київ","1 кімната","34 / - / 6 м²","поверх 4 з 5","хрущівка","цегляний будинок","1962"
"36 385 грн","Поділ","Подільський","Київ","3 кімнати","95 / - / 12 м²","поверх 3 з 5","сталінка","цегляний будинок","1928"
"268 100 грн","ЖК Renaissance Residence","Звіринець","Печерський","4 кімнати","200 / 120 / 40 м²","поверх 7 з 9","спец. проект","монолітно-каркасний","2013"
"88 090 грн","Нова забудова","Голосіївський","Київ","6 кімнат","216 / 133 / 15 м²","поверх 6 з 7","дореволюційний","цегляний будинок","1910"
"57 450 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","2 кімнати","87 / 50 / 20 м²","поверх 12 з 18","спец. проект","монолітно-каркасний","2012"
"15 999 грн","Нижній Печерськ","Печерський","Київ","1 кімната","40 / 15 / 15 м²","поверх 3 з 5","сталінка","цегляний будинок","1958"
"35 122 грн","ЖК Аристократ","Нижній Печерськ","Печерський","1 кімната","50 / 15 / 12 м²","поверх 16 з 24","спец. проект","монолітно-каркасний","2018"
"53 620 грн","ЖК Royal Tower","Нова забудова","Голосіївський","2 кімнати","65 / 30 / 15 м²","поверх 5 з 30","спец. проект","монолітно-каркасний","2016"
"19 000 грн","Нова забудова","Голосіївський","Київ","1 кімната","36 / 30 / 6 м²","поверх 1 з 13","спец. проект","цегляний будинок","1991"
"19 000 грн","ЖК Верховина","Святошино","Святошинський","2 кімнати","50 / 30 / 7 м²","поверх 12 з 26","спец. проект","монолітно-каркасний","2018"
"38 300 грн","ЖК вул. Провіантська, 3","Шулявка","Шевченківський","3 кімнати","120 / 80 / 20 м²","поверх 23 з 25","спец. проект","монолітно-каркасний","2003"
"28 000 грн","ЖК вул. Дмитрівська, 13, 13а","Солдатська слобідка","Шевченківський","3 кімнати","120 / 40 / 40 м²","поверх 5 з 18","спец. проект","монолітно-каркасний","2001"
"42 130 грн","ЖК Французький квартал","Нижній Печерськ","Печерський","1 кімната","50 / 30 / 10 м²","поверх 24 з 25","спец. проект","монолітно-каркасний","2016"
"15 000 грн","ЖК Standard One","Голосіїво","Голосіївський","1 кімната","30 / 17 / 7 м²","поверх 21 з 25","спец. проект","цегляний будинок","2019"
"65 110 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","3 кімнати","90 / 50 / 30 м²","поверх 10 з 29","спец. проект","монолітно-каркасний","2012"
"45 960 грн","ЖК Ярославів Град","Шевченківський","Київ","1 кімната","50 / 20 / 18 м²","поверх 8 з 8","","",""
"18 000 грн","ЖК The Lakes","Голосіївський","Київ","2 кімнати","72 / 50 / 10 м²","поверх 25 з 25","АППС","утеплена панель","2018"
"19 000 грн","Голосіївський","Київ","","1 кімната","42 / 22 / 16 м²","поверх 7 з 24","","",""
"30 000 грн","ЖК Панорама на Печерську","Нижній Печерськ","Печерський","2 кімнати","65 / 40 / 10 м²","поверх 8 з 26","спец. проект","монолітно-каркасний","2013"
"42 130 грн","ЖК Французький квартал 2","Нова забудова","Печерський","2 кімнати","55 / 27 / 24 м²","поверх 19 з 24","спец. проект","монолітно-каркасний","2017"
"22 999 грн","Печерськ","Печерський","Київ","2 кімнати","47 / 30 / 8 м²","поверх 6 з 6","","",""
"42 130 грн","ЖК Подол Град","Поділ","Подільський","3 кімнати","110 / 70 / 30 м²","поверх 2 з 5","спец. проект","монолітно-каркасний","2015"
"26 810 грн","ЖК вул. Ділова, 2б","Черепанова гора","Печерський","1 кімната","53 / 26 / 8 м²","поверх 9 з 25","спец. проект","монолітно-каркасний","2012"
"22 000 грн","ЖК Славутич","Позняки","Дарницький","1 кімната","43 / 17 / 14 м²","поверх 21 з 33","спец. проект","монолітно-каркасний","2018"
"51 705 грн","ЖК Бульвар Фонтанів","Нижній Печерськ","Печерський","2 кімнати","57 / 28 / 13 м²","поверх 3 з 14","спец. проект","монолітно-каркасний","2017"
"61 280 грн","Печерський","Київ","","3 кімнати","85 / 60 / 15 м²","поверх 12 з 25","","",""
"20 000 грн","Позняки","Дарницький","Київ","3 кімнати","127 / 65 / 17 м²","поверх 3 з 18","спец. проект","монолітно-каркасний","2000"
"10 000 грн","Деміївка","Голосіївський","Київ","1 кімната","35 / 18 / 8 м²","поверх 10 з 16","БПС","утеплена панель","1981"
"49 790 грн","Печерськ","Печерський","Київ","2 кімнати","65 / 16 / 45 м²","поверх 5 з 5","сталінка","цегляний будинок","1950"
"15 999 грн","Шулявка","Шевченківський","Київ","2 кімнати","51 / 30 / 7 м²","поверх 5 з 9","чеський проект","панельні","1969"
"12 999 грн","Нижній Печерськ","Печерський","Київ","1 кімната","30 / 17 / 6 м²","поверх 2 з 5","хрущівка","цегляний будинок","1962"
"65 110 грн","ЖК Дипломат-холл","Нова забудова","Голосіївський","5 кімнат","204 / 175 / 20 м²","поверх 16 з 16","спец. проект","монолітно-каркасний","2006"
"42 130 грн","Історичний центр","Шевченківський","Київ","3 кімнати","84 / 60 / 9.4 м²","поверх 4 з 9","совмін","цегляний будинок","1975"
"42 130 грн","ЖК Французький квартал 2","Нова забудова","Печерський","1 кімната","52 / 28 / 12 м²","поверх 9 з 15","спец. проект","монолітно-каркасний","2017"
"34 470 грн","Поділ","Подільський","Київ","1 кімната","40 / 20 / 15 м²","поверх 2 з 5","сталінка","цегляний будинок",""
"20 000 грн","ЖК Victory V","Шулявка","Шевченківський","1 кімната","30 / 20 / 10 м²","поверх 5 з 34","спец. проект","монолітно-каркасний","2018"
"13 900 грн","Шулявка","Солом'янський","Київ","2 кімнати","49 / 30 / 10 м²","поверх 2 з 9","серія 87","цегляний будинок","1974"
"32 555 грн","ЖК Central Park","Нова забудова","Печерський","2 кімнати","54 / 36 / 18 м²","поверх 4 з 23","спец. проект","монолітно-каркасний","2015"
"53 620 грн","ЖК Skyline","Нижній Печерськ","Печерський","2 кімнати","75 / 52 / 23 м²","поверх 12 з 25","спец. проект","монолітно-каркасний","2015"
"12 000 грн","Теремки-1","Голосіївський","Київ","2 кімнати","50 / 30 / 9 м²","поверх 5 з 9","серія 87","цегляний будинок","1990"
"11 000 грн","Лісовий","Деснянський","Київ","2 кімнати","52 / 32 / 8 м²","поверх 8 з 9","панельні","1968",""
"16 500 грн","Київ","","","1 кімната","35 / 25 / 7 м²","поверх 27 з 33","","",""
"30 000 грн","Липки","Печерський","Київ","2 кімнати","50 / 15 / 27 м²","поверх 5 з 5","","",""
"15 000 грн","Шулявка","Шевченківський","Київ","2 кімнати","47 / 30 / 15 м²","поверх 2 з 9","чеський проект","панельні","1969"
"12 000 грн","Оболонь","Оболонський","Київ","3 кімнати","71 / 57 / 11 м²","поверх 4 з 9","серія 87","цегляний будинок","1976"
"45 960 грн","ЖК Хвиля","Печерськ","Печерський","4 кімнати","206 / 170 / 22 м²","поверх 14 з 18","спец. проект","монолітно-каркасний","2005"
"12 000 грн","Оболонь","Оболонський","Київ","1 кімната","38 / 18 / 8 м²","поверх 8 з 9","серія 87","цегляний будинок","1974"
"5 400 грн","Соцмісто","Дніпровський","Київ","2 кімнати","48 / 33 / 8 м²","поверх 3 з 5","","",""
"12 000 грн","Печерськ","Печерський","Київ","1 кімната","25 / 15 / 6 м²","поверх 6 з 9","гостинка","цегляний будинок","1972"
"9 999 грн","КПІ","Солом'янський","Київ","2 кімнати","45 / 30 / 7 м²","поверх 2 з 5","хрущівка","цегляний будинок","1965"
"9 000 грн","Лук'янівка","Шевченківський","Київ","1 кімната","38 / 18 / 9 м²","поверх 3 з 9","спец. проект","цегляний будинок","1974"
"35 000 грн","ЖК Central Park","Нова забудова","Печерський","2 кімнати","56 / 24 / 15 м²","поверх 10 з 24","","",""
"45 960 грн","ЖК Придніпровський","Лівобережний масив","Дніпровський","3 кімнати","105 / 50 / 22 м²","поверх 12 з 23","спец. проект","монолітно-каркасний","2005"
"95 750 грн","ЖК Діамант","Старий Київ","Шевченківський","4 кімнати","156 / 100 / 35 м²","поверх 6 з 23","цегляний будинок","",""
"13 999 грн","ЖК Standard One","Голосіїво","Голосіївський","1 кімната","30 / 16 / 5 м²","поверх 10 з 25","спец. проект","цегляний будинок","2019"
"18 280 грн","Чорна Гора","Печерський","Київ","2 кімнати","46 / 30 / 8 м²","поверх 5 з 5","хрущівка","цегляний будинок","1966"
"12 000 грн","Звіринець","Печерський","Київ","2 кімнати","46 / 28 / 6 м²","поверх 5 з 5","хрущівка","цегляний будинок","1959"
"5 799 грн","Сирець","Шевченківський","Київ","1 кімната","30 / 18 / 6 м²","поверх 4 з 5","гостинка","цегляний будинок","1969"
"10 500 грн","Сирець","Шевченківський","Київ","2 кімнати","42 / 25 / 6 м²","поверх 1 з 5","хрущівка","цегляний будинок","1961"
"9 000 грн","Шулявка","Шевченківський","Київ","1 кімната","46 / 20 / 9 м²","поверх 2 з 16","серія Т","утеплена панель","1990"
"10 999 грн","Голосіїво","Голосіївський","Київ","1 кімната","38 / 19 / 10 м²","поверх 6 з 6","спец. проект","цегляний будинок","1997"
"9 500 грн","Оболонь","Оболонський","Київ","2 кімнати","48 / 29 / 8 м²","поверх 15 з 16","БПС","утеплена панель","1977"
"30 000 грн","ЖК Podil Plaza & Residence","Шевченківський","Київ","2 кімнати","40 / 20 / 20 м²","поверх 23 з 25","","",""
"16 000 грн","Звіринець","Печерський","Київ","1 кімната","39 / 19 / 9 м²","поверх 3 з 5","сталінка","цегляний будинок","1958"
"38 300 грн","ЖК RiverStone","Позняки","Дарницький","2 кімнати","84 / 50 / 20 м²","поверх 18 з 23","спец. проект","монолітно-каркасний","2012"
"35 000 грн","Солдатська слобідка","Шевченківський","Київ","3 кімнати","120 / 98 / 15 м²","поверх 17 з 22","спец. проект","монолітно-каркасний","2001"
"6 500 грн","Харьківський","Дарницький","Київ","1 кімната","27 / 13 / 6 м²","поверх 1 з 9","серія Т","утеплена панель","1986"
"16 000 грн","Осокорки","Дарницький","Київ","2 кімнати","72 / 36 / 12 м²","поверх 3 з 17","спец. проект","утеплена панель","1998"
"14 000 грн","ЖК Лебединий","Осокорки","Дарницький","1 кімната","44 / 18 / 12 м²","поверх 10 з 25","","",""
"13 000 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","37 / 16 / 12 м²","поверх 14 з 25","спец. проект","панельні","2017"
"22 000 грн","Нова забудова","Печерський","Київ","2 кімнати","43 / 26 / 7 м²","поверх 5 з 9","спец. проект","цегляний будинок",""
"14 000 грн","Татарка","Шевченківський","Київ","2 кімнати","55 / 30 / 9 м²","поверх 7 з 9","цегляний будинок","",""
"20 000 грн","ЖК Південна брама","Осокорки","Дарницький","2 кімнати","75 / 45 / 15 м²","поверх 16 з 25","спец. проект","монолітно-каркасний","2012"
"21 000 грн","ЖК Respublika","Теремки","Голосіївський","1 кімната","42 / 15 / 17 м²","поверх 6 з 8","спец. проект","монолітно-каркасний","2019"
"40 215 грн","ЖК Французький квартал 2","Нова забудова","Печерський","2 кімнати","58 / 27 / 18 м²","поверх 8 з 24","спец. проект","монолітно-каркасний","2019"
"12 000 грн","Осокорки","Дарницький","Київ","1 кімната","56 / 33 / 12 м²","поверх 18 з 25","спец. проект","монолітно-каркасний","2010"
"17 000 грн","Академмістечко","Святошинський","Київ","2 кімнати","60 / 34 / 10 м²","поверх 4 з 5","сталінка","цегляний будинок","1959"
"11 000 грн","Лук'янівка","Шевченківський","Київ","2 кімнати","54 / 30 / 9 м²","поверх 14 з 16","серія Т","утеплена панель","2001"
"16 000 грн","Липки","Печерський","Київ","1 кімната","40 / 20 / 8 м²","поверх 2 з 6","сталінка","цегляний будинок","1959"
"11 500 грн","Лівобережний масив","Дніпровський","Київ","3 кімнати","72 / - / 8 м²","поверх 4 з 9","чеський проект","панельні","1969"
"15 000 грн","Теремки-1","Голосіївський","Київ","3 кімнати","70 / 42 / 9 м²","поверх 16 з 16","серія Т","утеплена панель","1986"
"22 000 грн","ЖК Respublika","Теремки","Голосіївський","1 кімната","40 / - / 17 м²","поверх 3 з 9","спец. проект","монолітно-каркасний","2019"
"38 300 грн","ЖК Парк-холл Горький","Нова забудова","Голосіївський","3 кімнати","110 / - / 32 м²","поверх 9 з 12","спец. проект","монолітно-каркасний","2014"
"134 050 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","3 кімнати","116 / - / 34 м²","поверх 9 з 23","спец. проект","монолітно-каркасний","2014"
"35 000 грн","ЖК Творець","Нижній Печерськ","Печерський","3 кімнати","110 / - / 18 м²","поверх 12 з 25","спец. проект","монолітно-каркасний","2005"
"26 810 грн","Нова забудова","Голосіївський","Київ","2 кімнати","45 / - / 1 м²","поверх 5 з 5","","",""
"80 430 грн","ЖК бул. Лесі Українки, 7б","Печерськ","Печерський","4 кімнати","419 / - / 1 м²","поверх 20 з 20","спец. проект","монолітно-каркасний","2010"
"17 500 грн","ЖК Елегант","Нова забудова","Шевченківський","1 кімната","43 / - / 10 м²","поверх 4 з 32","спец. проект","монолітно-каркасний","2013"
"20 000 грн","ЖК Корона","Позняки","Дарницький","3 кімнати","125 / - / 15 м²","поверх 24 з 28","спец. проект","монолітно-каркасний","2007"
"18 000 грн","ЖК Голосіїво","Деміївка","Голосіївський","3 кімнати","115 / - / 17 м²","поверх 9 з 18","спец. проект","монолітно-каркасний","2008"
"11 500 грн","Деміївка","Голосіївський","Київ","1 кімната","37 / - / 9 м²","поверх 5 з 16","БПС","утеплена панель","1979"
